Word,Frequency
tonight,2
real,12
dogging,11
locations,5
sent,10
direct,9
join,16
uks,9
largest,4
bt,5
txting,7
gravel,1
69888,2
nt,1
ec2a,4
31pmsg150p,2
youll,1
msgs,6
chat,34
svc,1
hardcore,2
services,16
go,26
69988,1
nothing,4
must,5
age,8
yr,11
havent,1
replied,1
im,13
randy,2
sexy,14
female,1
local,5
luv,5
netcollex,4
ltd,11
08700621170150p,2
per,38
stop,103
annoncement,1
years,5
07046744435,1
arrange,2
0871277810810,1
pls,9
bootydelious,1
32f,1
inviting,5
friend,10
yes434,1
no434,1
see,16
frnd,5
62468,5
bangbabes,1
order,13
way,1
download,3
content,14
goto,5
bangb,1
tv,4
internetservice,1
menu,1
09061701939,1
s89,1
freephone,4
0808,1
145,1
4742,1
9am11pm,1
unique,2
enough,2
find,21
30th,1
august,2
500,18
89545,3
collect,18
todayfrom,2
pound1,3
2optout,4
08718726270150gbpmtmsg18,3
meet,5
dream,2
partner,4
soon,2
career,1
flyng,1
start,5
horo,2
followed,3
star,2
sign,2
e,4
g,4
aries,1
someone,13
today,14
date,8
even,6
flirt,4
10p,13
name,13
sam,2
25,3
recdthirtyeight,1
pence,2
447801259231,1
secret,7
admirer,7
looking,7
make,11
ufind,6
rreveal,6
thinks,7
specialcall,6
09058094597,1
congratulations,12
cd,7
vouchers,13
125gift,2
music,15
87066,10
tncs,5
offer,19
video,26
handset,5
750,16
anytime,11
networks,1
mins,28
unlimited,9
really,1
horny,7
naked,1
hot,13
69698,2
unsubscribe,16
changed,1
credits,8
club4mobilescom,1
choose,9
club,19
87070,1
150pwk,1
club4,1
po,22
box1146,1
mk45,1
2wt,1
singles,4
chart,2
quality,2
charge,8
hmv,4
genuine,1
answer,5
easy,9
questions,3
86688,13
tmobile,3
phone,41
upgrade,3
pay,1
sim,5
card,3
loyalty,6
0845,3
021,2
3680offer,1
ends,4
28thfebtcs,1
blind,2
4u,3
rodds1,1
21m,1
aberdeen,1
united,1
kingdom,1
check,4
acwicmb3cktz8r7four,1
dates,2
hide,1
themob,3
newest,2
selection,4
games,13
tones,22
gossip,1
babes,2
sport,5
keep,5
fit,1
funky,1
82468,2
think,4
smart,1
pound200,9
weekly,20
85222,1
nowtcs,1
winnersclub,1
box,24
84,1
m26,3
3uz,3
gbp150week,1
december,3
11mths,6
08002986906,2
germany,2
minute,6
fixed,1
line,29
via,2
access,5
number,26
0844,1
861,1
85,2
prepayment,1
valentines,2
day,13
take,10
lifetime,1
83600,3
150pmsg,11
rcvd,4
custcare08718720201,1
fancy,9
shag,1
dointerested,1
sextextukcom,1
xxuk,1
suzy,1
69876,1
txts,10
one50,2
website,1
x,8
cashbalance,7
currently,9
maximize,7
cashin,7
cc,6
08708800282,1
hgsuite3422lands,6
roww1j6hl,4
updatenow,2
xmas,14
motorola,9
sonyericsson,5
bluetooth,7
double,11
1000,4
orange,21
mobileupd8,12
08000839402,12
call2optoutf4q,1
discount,6
rp176781,1
messages,10
08717205546,1
reference,4
t91,1
gbp,1
calling,6
09057039994,1
6months,1
available,2
phones,8
call2optoutn9dx,1
4mths,2
half,11
price,14
rental,10
mobilesdirect,2
08000938767,2
or2stoptxt,2
first,5
87131,4
poly,14
true,2
tone,34
help,14
2814032,1
1st,19
3xpound150pw,1
epoundnd,1
dating,15
09064012103,1
box334sk38ch,2
pound250,14
competition,2
80086,2
logo,2
lover,1
names,1
joined,1
heart,2
love,8
name1,1
name2,1
mobno,1
adam,1
eve,4
07123456789,1
yahoo,1
pobox36504w45wq,3
txtno,1
ads,1
150p,19
contacted,5
entered,6
09111032124,1
pobox12n146tf150p,1
09058094455,1
land,16
3030,7
3650,1
09066382422,1
calls,11
ave,2
3mins,3
vary,4
close,3
300603,1
post,3
bcm4284,1
ldn,6
wc1n3xx,3
loan,2
purpose,2
pound500,14
pound75000,1
homeowners,1
tenants,2
welcome,8
previously,1
refused,2
1956669,1
upgrdcentre,1
0207,2
153,2
9153,1
26th,1
july,2
tcs,25
optout,7
okmail,1
dear,14
dave,2
notice,3
tenerife,7
5000,4
09061743806,2
sae,17
box326,2
cw25wx,4
moan,1
69888nyt,1
activate,4
terms,6
conditions,3
visit,5
123,2
pound1450,2
09050002311,1
b4280703,1
tcsstop,2
08718727868,1
40gb,5
ipod,9
mp3,4
83355,3
ibhltd,2
ldnw15h,2
150pmtmsgrcvd18,2
boltblue,1
mono,2
poly3,1
cha,2
slide,1
yeah,1
slow,1
jamz,1
toxic,1
eight,1
come,2
topped,1
renewal,1
pin,1
tgxxrz,1
020903,2
2nd,19
attempt,21
08718729755,1
box95qu,3
worth,8
85023,4
savamob,8
member,3
offers,9
cs,10
08717898035,2
pound300,4
sub,4
unsub,3
recieve,1
within,3
24hrs,2
channel,1
teletext,1
pg,1
2003,13
07815296484,1
800,13
08718738001,2
41782,1
181104,1
monthlysubscription50pmsg,1
max6month,1
tcsc,1
web,2
age16,4
2stop,1
one000,2
two000,2
call09050000327,2
us,7
ring,4
claims,2
09050005321,1
150,8
textand,1
08002988890,1
chance,18
shopping,7
spree,6
shop,3
80878,2
tscs,13
custcare,5
08715705022,3
1x150pwk,3
2000,1
pound,5
08712402050,2
lines,2
10ppm,2
ag,2
promo,2
07753741225,1
08715203677,1
42478,1
24ten04,1
important,11
announcement,5
542,3
0825,1
xclusiveclubsaisai,1
2morow,1
28five,1
soiree,1
speciale,1
zouk,1
nichols,1
parisfree,1
roses,1
ladies,2
0794674629107880867867,1
22,1
days,8
kick,3
euro2004,3
kept,2
results,2
daily,3
removed,1
83222,2
textbuddy,2
guys,5
area,8
25p,7
search,2
postcode,3
gaytextbuddycom,2
89693,2
vodafone,4
4882,1
pound350,10
matches,7
09064019014,1
voucher,14
holder,5
pc,5
applytwo,1
texts,16
80062,5
08715203694,1
40533,2
31ten04,2
rstm,2
sw7,2
3ss,2
88800,1
89034,1
premium,2
08718711108,1
sun0819,1
posts,1
helloyou,1
seem,1
cool,1
gr8,7
20,3
every,25
wk,14
opt,10
08452810071,1
hi,13
sue,2
old,2
work,3
lapdancer,1
sex,10
bedroom,1
89555,3
textoperator,3
g2,1
1da,1
150ppmsg,1
forwarded,4
448712404000please,1
08712404000,1
immediately,5
fantastic,7
ngage,1
game,7
deck,1
alerts,1
08714712388,1
10am7pm,4
449071512431,1
uu,3
pound1250,2
09071512433,2
b4,6
050703,2
tcsbcm4235wc1n3xx,2
callcost,2
mobilesvary,2
maxpound7,3
50,4
08714712394,1
email,2
alertfrom,1
jeri,1
stewartsize,1
2kbsubject,1
lowcost,1
prescripiton,1
drvgsto,1
listen,2
offerthe,2
nokia6650,2
pound10,4
txtauction,4
81151,2
4tctxt,2
150pmtmsg,2
subscribed,3
best,6
pound3,4
ten,7
82324,1
helpline,2
08706091795,2
realize,1
40,2
well,5
thousands,1
running,1
around,2
tattoos,1
premier,2
romantic,1
paris,3
nights,1
pound79,1
book,4
08704439680tscs,1
unclaimed,1
09066368327,1
closingdate040902,1
claimcode,1
m39m51,1
pound150pmmorefrommobile2bremovedmobypobox734ls27yf,1
city,3
break,4
could,7
summer,6
store,7
88039,3
skilgme,3
tscs087147403231winawkage16,2
pound150perwksub,2
0578,2
ever,3
thought,1
living,1
good,12
life,3
perfect,1
community,2
100psms,1
five,10
polyphonic,4
087018728737,1
rate,16
toppoly,1
tune,1
subpoly,2
81618,1
pole,1
08718727870,2
9996,1
14thmarch,1
availa,1
pobox84,4
m263uz,2
no1,5
8077,1
tell,11
mates,8
36504,4
w45wq,3
norm150ptone,3
cashto,2
08000407165,2
getstop,2
88222,2
php,2
rg21,1
4jx,1
either,8
gift,16
pound100,18
outbid,1
simonwatson5120,1
shinco,1
plyr,1
bid,7
acsmsrewards,1
notifications,1
smsservices,1
yourinclusive,1
login,4
3qxj9,3
extra,6
08702840625comuk,2
220cm2,2
9ae,3
alfie,3
moons,3
children,3
need,10
song,3
m8s,3
charity,9
8007,16
nokias,3
polys,8
zed,5
08701417012,3
profit,3
reveal,2
09065174042,1
recd,2
cust,3
care,4
07821230901,1
08002888812,2
wed,1
voucherstext,1
nowsavamobmember,1
remove,3
09066350750,1
ibiza,3
ten000,1
await,15
collection,21
434,2
sk3,2
8wp,2
ppm,3
talk,5
friends,3
fall,1
worlds,1
discreet,2
vip,4
83110,1
yrs,3
supply,2
cds,4
virgin,1
records,4
mystery,1
09061104283,1
pound150pm,1
approx,1
07808,1
xxxxxx,1
08719899217,1
41685,2
071104,2
hello,3
posh,1
birds,1
chaps,1
user,8
trial,1
prods,1
champneys,1
put,1
address,3
dob,1
asap,6
ta,1
0721072,1
till,2
drop,1
10k,2
5k,1
travel,1
09064011000,1
ntt,6
cr01327bt,1
fixedline,1
liverpool,2
played,1
mid,1
09058094565,2
09065171142stopsms08,1
reminder,2
downloaded,1
already,1
paid,1
mymoby,1
lastest,1
stereophonics,1
marley,1
dizzee,1
racal,1
libertines,1
strokes,1
nookii,1
bookmark,1
january,1
male,3
sale,4
gay,6
cheaper,2
08709222922,2
one5pmin,2
cheap,3
seven8pmin,2
peak,2
08712460324,7
10pmin,9
money,4
lucky,8
88600,3
pound1million,1
give,7
away,4
ppt150x3normal,1
box403,1
w1t1jy,1
matthew,1
09063440451,1
fourlux,1
ppm150,1
box334,1
sk38xh,4
09061749602,1
pound10000,5
528,1
hp20,1
1yf,1
getting,4
touch,1
folks,1
company,2
enjoy,10
150psms,1
08718720201,5
11414,3
tcrw1,3
filthy,2
stories,1
girls,5
pound800,7
09050001808,1
m95,1
valid12hrs,2
3g,3
videophones,3
09063458130,2
videochat,3
wid,3
java,3
dload,3
polyph,2
noline,3
rentl,3
panasonic,1
bluetoothhdset,1
doublemins,1
doubletxt,1
contract,3
guess,6
somebody,2
secretly,2
fancies,3
wan,11
na,10
09065394514,1
datebox1282essexcm61xn,2
150pmin,3
09058097218,1
ls15hb,2
1000s,5
flirting,1
girl,4
bloke,1
zoe,1
chatting,2
kickoff,1
informed,1
euro,2
eastenders,1
flower,1
dot,1
compare,1
violet,1
tulip,1
f,4
lily,1
84025,2
wkent150p16,1
lots,2
people,3
registered,4
replys150,1
asked,5
cant,4
09058091854,1
revealed,4
box385,1
m6,1
6wu,1
09050003091,2
c52,2
uve,6
invited,4
xchat,4
sipix,2
digital,4
09061221061,1
28days,1
box177,1
m221bp,1
2yr,1
warranty,1
p,2
ppound399,1
09061790121,2
subscriber,4
b,11
receipt,3
ans,6
elvis,1
presleys,1
birthday,1
information,8
o2,5
log,7
onto,7
surprise,5
awaiting,8
449050000301,1
09050000301,1
bored,3
speed,1
speedchat,2
80155,1
em,1
swap,1
chatter,1
chat80155,1
rcd,1
08000776320,2
taking,1
part,7
survey,1
yesterday,3
however,1
wish,2
80160,1
one50p,1
hmv1,1
forget,2
place,4
many,3
requests,1
1stchoicecouk,1
08707808226,1
lets,3
hgsuite3422landsroww1j6hl,1
thank,1
notified,1
luck,6
future,3
marketing,1
84122,1
08450542832,1
virgins,1
ready,5
4fil,2
sexual,1
cute,1
69911pound150p,1
got,6
takes,3
wrc,1
rally,2
oz,1
lucozade,1
energy,2
le,1
61200,1
packs,1
lucozadecoukwrc,1
itcould,1
pic,6
jordan,2
babe,8
celeb,1
pocketbabecouk,2
pics,10
pound3wk,3
087016248,1
voicemail,2
08719181503,1
choice,2
enter,9
delivered,4
door,1
exp,1
30apr,1
08719181513,1
nok,1
87021,2
txtin,2
150ptone,3
4info,2
completely,1
accommodation,1
various,1
global,1
ph08700435505150p,1
84128,2
08712405020,4
08712402779,1
hungry,2
feeling,2
08718730555,1
set,1
09096102316,1
cum,4
2moro,1
jane,1
xx,4
callspound1minmoremobsemspobox45po139wa,2
80488biz,1
jamster,2
videosound,1
gold,1
videosoundstwo,1
logosmusicnews,1
jamstercouk,1
16only,2
09701213186,1
lions,1
lionm,1
lionp,1
original,2
n,6
3gbp,2
harry,2
potter,1
phoenix,1
among,1
readers,1
balance,2
question,4
sang,1
uptown,1
80s,1
free2day,1
st,1
georges,1
jordantxt,1
89080,1
saucy,2
celebfour,1
0870241182716,1
fantasies,4
08707509020,3
20p,4
min,12
1327,4
croydon,4
cr9,4
5wb,4
0870k,1
bears,2
nick,1
tom,1
pete,1
dick,1
fact,1
types,1
photo,3
upload,2
08718730666,2
onetwo,4
linerental,4
call2optoutlf56,1
150pmsgrcvdhgsuite3422landsroww1j6hl,3
win150ppmx3age16,1
arsenal,3
dartboard,1
condition,1
doubles,1
trebles,1
textpod,2
pod,3
optin,1
whats,1
bbc,1
charts,1
summers,1
finally,1
matched,1
help08714742804,1
claire,2
havin,1
borin,1
time,18
alone,3
2nite,4
09099725823,1
hope,4
bought,1
costing,2
offering,1
09066362231,3
07xxxxxxxxx,3
020603,4
reach,5
07801543489,1
latests,1
wordcollect,1
no83355,1
tcllc,1
nyusa,1
150pmt,1
msgrcvd18,1
lucy,2
hubby,1
meetins,1
fri,2
hotel,2
cumin,1
leave,2
2day,4
09099726395,1
callspound1minmobsmorelkpobox177hp51fl,2
credited,1
80488,3
jsco,2
high,3
2channel,1
leadership,1
skills,1
strong,1
psychic,1
wquestion,1
0870,4
vote,1
sing,2
along,1
stars,1
karaoke,1
brand,4
arrive,6
shortly,3
install,1
browse,1
artists,1
one0803,1
08714719523,1
7250i,2
auction,14
86021,4
roww1jhl,2
plus,6
7250,2
08719899230,1
olympics,1
rtking,1
pro,1
inforingtonekingcouk,1
08701237397,1
redeemable,1
09058094599,1
stay,3
250,4
british,2
hotels,2
london,3
02072069400,1
bx,1
526,1
sw73ss,2
eerie,3
rply,4
title,2
dracula,1
titles,2
ghost,1
addamsfa,1
munsters,1
exorcist,1
twilight,1
0adollarnetworks,1
allow,1
companies,1
bill,3
responsible,1
suppliers,1
freemsgfeelin,1
kinda,1
lnly,1
jst,1
cam,2
moby,4
pictxt,1
82242,3
msg150p,2
2rcv,2
hlp,2
08712317606,2
action,3
80608,1
08712405022,1
rgent,1
lookin,1
daytime,1
wiv,2
busty,1
married,2
woman,1
sort,1
09099726429,1
janinexx,1
09050001295,1
a21,1
monthly,1
mobsicom,1
391784,1
0089my,1
digits,1
received,2
09063442151,1
ringtoneget,1
freesend,1
81618three,1
weekstop,1
sms08718727870,1
sorry,3
ordered,3
81303,3
sufficient,1
hard,2
121,2
60pmin,3
connect,1
09094646899,1
biggest,2
vu,1
bcm1896wc1n3xx,1
wow,2
boys,2
2007,2
tour,2
tickets,3
prebook,1
trackmarque,1
infovipclub4u,1
mandy,1
sullivan,1
hotmix,1
fmyou,1
chosen,2
pound500000,1
easter,1
drawplease,1
telephone,1
09041940223,1
290305,1
transferred,1
else,1
going,3
bahamas,2
callfreefone,1
08081560665,1
cruise,1
ofpound2000,1
18only,2
07786200117,1
conacted,1
youto,1
09111030116,1
pobox12n146tf15,1
07734396839,1
ibh,1
nokia6600,1
txtauctiontxt,1
wordstart,1
no81151,1
now4t,1
buy,2
space,1
invaders,1
orig,1
arcade,4
console,1
press,2
zero,2
o2coukgames,1
settings,2
purchase,2
big,2
brother,1
alert,4
computer,3
09064018838,1
cro1327,1
mr,1
foley,1
exciting,2
prizes,1
eye,1
1225,1
pound50award,1
3100,2
hottest,1
straight,2
wet,2
wanting,1
costs,3
g696ga,2
hack,1
backdoor,1
rooms,1
fraction,1
neo69,1
09050280520,1
subscribe,1
pm,2
dps,1
bcm,1
8027,1
upto,2
12mths,2
one2price,1
xnet,1
mins100txtmth,1
btooth,2
08001950382,3
2optoutd3wv,1
08718726970,1
btnationalrate,7
prizeto,1
would,4
nearly,1
banned,1
09058094594,1
0776xxxxxxx,1
18yrs,2
09061743811,1
abta,3
326,2
09090900040,1
extreme,1
dirty,1
office,1
right,3
total,1
privacy,1
knows,1
sic,1
listening,1
60p,1
247mp,1
0870753331018,1
videopic,1
fones,1
wild,1
ill,1
hurry,1
150prcvd,1
stop2stop,1
80182,2
08452810073,2
details,7
08715500022,1
rpl,1
cnl,1
08702490080,1
tells,2
09066358152,2
personal,2
prompts,2
careful,2
vpod,1
09090204448,1
minded,1
theres,4
evening,1
apound150,1
minapn,1
ls278bb,1
done,2
costa,4
del,6
sol,4
09050090044,3
toclaim,3
pobox334,3
stockport,3
costpound150pm,3
max10mins,3
09065394973,1
31,1
2006,1
fifa,1
world,1
held,1
87239,4
09061743810,1
enjoyed,2
61610,2
help08712400602450p,2
provided,3
tones2youcouk,2
themobyo,1
yo,1
yohere,1
downloads,3
members,3
open,1
fone,4
great,9
freefone,3
08006344447,1
starting,3
skillgame1winaweek,1
age16150ppermesssubscription,1
09094100151,1
cast,1
aom,2
gbp5month,1
box61m60,1
1er,1
ages,1
09066362220,1
box97n7qp,3
gender,2
wither,1
eg23f,1
men,2
eg23g,1
messagestext,1
nowuse,1
web2mobile,1
txt250com,1
one50pwk,1
box139,1
la32wu,1
txtx,1
85233,1
freeringtonereply,1
official,3
flag,5
yer,2
84199,2
eng,2
box39822,2
w111wx,2
subs,2
inclusive,4
help08700469649,1
box420,1
ip4,3
5we,3
087123002209am7pm,1
hols,1
med,2
stamped,1
self,1
envelope,1
drinks,1
113,1
bray,1
wicklow,1
eire,1
starts,2
saturday,4
skillgame,1
1winaweek,1
150ppermesssubscription,1
b4u,1
wc,1
2703,1
marsms,1
08717168528,1
buffy,1
satisfy,2
home,2
pix,2
qlynnbv,1
help08700621170150p,1
four49month,1
cross,2
ntwk,3
bundle,1
deals,1
also,3
avble,1
call2optoutj,1
mf,1
08714712379,1
ref,2
k718,1
pound450,4
09065069120,1
ya,1
4goten,1
bout,1
scammers,1
smartthough,1
regular,1
respond,1
prem,1
msgsubscription,1
nos,1
used,1
beware,1
2morro,1
term,2
passion,1
09099726481,1
dena,1
pound1minmobsmorelkpobox177hp51fl,1
r836,1
09065069154,1
splashmobile,1
subscrition,1
300p,2
heard,2
u4,2
rude,2
01223585334,1
2c,1
gettin,1
shagged,1
8552,2
2end,1
88877free,1
88877,1
88066,3
lost,2
3pound,1
oranges,2
weekend,6
upd8,2
2stoptx,1
08718738034,1
21870000hi,2
mailbox,2
messaging,2
21,1
09056242159,2
retrieve,2
pub,2
quizwin,2
street,2
duchess,2
cornwall,2
82277unsub,2
008704050406,2
sp,3
arrow,1
08718726971,1
tddnewsletteremc1couk,1
thedailydraw,1
helen,1
dozens,1
prizeswith,1
ten0603,1
09066368753,1
97n7qp,1
freenokia,1
or2optouthv9d,1
ringtones,5
restrictions,1
buddys,1
sir,1
80082,3
08712402902,1
spook,3
halloween,2
08701417012150p,1
logopic,2
fantasy,3
football,1
sky,2
gamestar,1
active,1
pound250k,1
scoring,1
register,1
nowsky,1
88088,1
expired,1
resub,1
monoc,1
monos,1
polyc,1
stream,1
0871212025016,1
draws,1
town,2
adult,3
becausethey,1
09058098002,1
pobox1,1
w14rg,1
baby,2
nasty,1
thing,1
filthyguys,1
bitch,1
slo,1
slo4msgs,1
gotto,1
08702840625,1
comuk220cm2,1
ithis,1
created,1
page,1
read,1
wrote,1
opinions,1
oneone,1
83370,1
sppok,1
09066612661,3
complementary,1
wa14,1
2px,1
sender,1
hol,1
hvae,1
09061701444,1
24,2
acl03530150pm,2
6230,1
83383,2
pobox11414tcrw1,1
text82228,1
logos,1
infotxt82228couk,1
mini,1
snap,1
quizclub,1
80122300pwk,1
sprwm,1
ph08704050406,1
brought,2
gmw,1
connected,1
bx420,2
amazing,2
picsfree1,2
vid,1
keyword,1
83435,1
tarot,1
85555,1
horniest,1
follow,2
instructions,2
nytec2a3lpmsg150p,1
knock,2
whose,1
stoptxtstoppound150week,1
cc100pmin,1
0870737910216yrs,1
pound150wk,1
077xxx,1
09066362206,1
look,2
w4,1
5wq,1
norm,2
park,1
69696,2
nyt,1
3lp,2
pound150msg,2
response,1
hit,3
include,2
onemcflyall,1
ab,1
sara,1
jorgeshock,1
smithswitch,1
sports,2
fans,1
str,1
0870141701216,1
4txt120p,1
europe,1
10th,1
sept,3
09050000555,1
ba128nnfwfly150ppm,1
pound12,1
fastest,2
growing,2
83021,1
tariffs,4
2stoptxt,2
luxury,2
canary,2
islands,2
20m12aq,1
lux,1
james,1
28,2
eh74rr,1
women,1
instantly,1
69969,1
bcmsfwc1n3xx,1
burger,2
king,3
footy,1
stadium,1
large,1
super,3
cocacola,1
walk,1
little,3
child,1
afraid,1
dark,1
become,1
teenager,1
wants,1
night,6
bin,1
pound50,1
instant,1
08715203028,1
9th,1
wins,1
pound50pound500,1
freemsgfav,1
tonesreply,1
mobs,1
2u,1
breathe1,1
crazyin,1
sleepingwith,1
finest,1
ymca,1
getzedcouk,1
pobox365o4w45wq,1
interflora,2
late,1
flowers,1
christmas,1
505060,1
midnight,1
romcapspam,1
everyone,2
responding,1
presence,1
since,2
warm,2
outgoing,1
bringing,1
breath,1
08712103738,1
youve,3
09058099801,1
b4190604,1
7876150ppm,1
freemessage,1
jamsterget,1
crazy,5
frog,1
sound,1
mad1,1
mad2,1
88888,2
sounds,1
gbpweek,1
reality,1
show,3
porn,4
69855,1
50p,2
stopbcm,1
sf,1
pdatenow,1
call2optoutyhl,1
09058094454,1
yet,2
package,1
54,1
resubmit,1
request,1
expiry,1
08712400200,1
08718723815,1
27six03,1
08714714011,1
youre,2
driving,2
anyone,1
slower,1
idiot,1
faster,1
maniac,1
call2optout4qf2,1
professional,1
tiger,1
woods,1
pt2,1
improved,2
msgs150p,2
400minscall,1
call2optoutj5q,1
69200,1
hrs,1
chrgd50p,1
2exit,1
unsubscribed,1
tons,1
hunks,1
subscriptions,1
abroad,1
lonely,1
xxsp,1
visionsmscom,2
stopcost,1
08712400603,1
agent,1
loads,1
goodies,1
mat,1
lord,1
ringsreturn,1
nowreply,1
lotr,2
june,1
soundtrack,1
stdtxtrate,1
28th,1
feb,1
06,1
removal,2
08708034412,2
str8,1
classic,1
nokia150p,1
poly200p,1
lookatme,2
clip,1
35p,1
better,1
mmsto,1
32323,1
vat,1
cancel,5
09053750005,1
310303,1
08718725756,1
140ppm,1
08712101358,1
88039skilgmetscs087147403231winawkage16pound150perwksub,1
09066358361,1
y87,1
x29,1
four50,3
09065989180,1
08718726978,1
44,1
7732584351,1
3510i,4
deliveredtomorrow,2
300,4
minutes,4
09058097189,1
09061221066,1
fromm,1
5226,1
350,1
hava,1
1131,1
rct,1
thnq,1
adrian,1
rgds,1
vatian,1
09050000928,1
pobox45w2tg150p,2
missed,2
07090201529,1
needs,1
09066364349,1
lose,1
box434sk38wp150ppm18,1
msgwe,1
billed,3
mistake,1
shortcode,1
83332please,1
08081263000,1
charges,2
refundedthis,1
08712402972,1
09058095201,1
never,1
much,1
came,1
made,1
truly,2
wont,2
gbpsms,1
600,1
400,1
deltomorrow,1
09066368470,1
begin,1
24m,1
onemonth,1
smartcall,1
68866,1
subscriptn3gbpwk,1
08448714184,1
stoptxt,1
landlineonly,1
mths,3
cameravideo,2
save,3
textsweekend,1
callback,2
orno,1
fink,1
met,1
09099726553,1
promised,1
carlie,1
callspound1minmobsmore,1
lkpobox177hp51fl,1
movie,2
89105,1
films,2
ts,3
wedding,1
lingerie,1
superb,1
weddingfriend,1
knickers,1
beg,1
01223585236,1
nikiyu4net,1
bloomberg,1
center,1
447797706009,1
wait,1
bloombergcom,1
phone750,1
09050000878,1
wan2,1
meetgreet,1
westlife,1
m8,1
oneunbreakable,1
twountamed,1
threeunkempt,1
83049,1
dorothykiefercom,1
bank,2
granite,2
issues,2
strongbuy,2
explosive,2
pick,2
nasdaq,2
symbol,2
cdgt,2
dollar500,2
09071517866,1
150ppmpobox10183bhamb64xe,1
10am,1
8pm,1
thurs,2
sat,2
theyre,1
selling,1
fast,1
rock,1
chik,1
100s,1
filth,1
69669,2
saristar,1
e14,1
9yt,1
08701752560,1
450p,1
stop2,1
month,2
9061100010,1
wire3net,1
1st4terms,1
mobcudb,1
09050000460,1
j89,1
box245c2150pm,1
banneduk,1
round,1
highest,1
pound54,1
maximum,1
pound71,1
bids,1
flight,1
69101,1
believe,1
incredible,1
learn,1
things,1
blow,1
mind,1
o2fwd,1
18ptxt,1
willing,1
strt,1
ltdhelpdesk,1
02085076972,1
200,3
09066660100,1
2309,1
tonights,1
recently,2
unable,2
07090298926,1
reschedule,2
ref9307622,1
mytonecomenjoy,1
html,1
gbp450week,1
mfl,1
wamma,1
laidwant,1
doggin,1
dogs,1
nownyt,1
promotion,1
8714714,1
087147123779am7pm,1
x49,1
09065989182,2
colourredtextcolourtxtstar,1
2nights,1
wildest,1
twotwo,1
146tf150p,1
class,2
airport,1
lounge,1
passes,1
using,2
08704439680,1
booking,1
quote,1
09058095107,1
seven,2
s3xy,1
mila,1
age23,1
blonde,1
mtalk,1
